Ego_vx,Ego_vy,Ego_Yawrate,CycleNum
15.3477,NULL,-0.00457764,182
15.3398,NULL,-0.00488281,183
15.3359,NULL,-0.00463867,184
15.3242,NULL,-0.00415039,185
15.3164,NULL,-0.00360107,186
15.3086,NULL,-0.00335693,187
15.3008,NULL,-0.00335693,188
15.2969,NULL,-0.00335693,189
15.293,NULL,-0.00317383,190
15.2891,NULL,-0.00244141,191
15.2813,NULL,-0.00164795,192
15.2734,NULL,-0.00152588,193
15.2656,NULL,-0.00189209,194
15.2578,NULL,-0.00256348,195
15.25,NULL,-0.00341797,196
15.2461,NULL,-0.003479,197
15.2422,NULL,-0.00280762,198
15.2344,NULL,-0.0022583,199
15.2305,NULL,-0.00183105,200
15.2227,NULL,-0.00158691,201
15.2188,NULL,-0.00170898,202
15.2148,NULL,-0.00201416,203
15.207,NULL,-0.00219727,204
15.2031,NULL,-0.00219727,205
15.1953,NULL,-0.0020752,206
15.1914,NULL,-0.00201416,207
15.1836,NULL,-0.00177002,208
15.1797,NULL,-0.00170898,209
15.1719,NULL,-0.00195313,210
15.1641,NULL,-0.00183105,211
15.1523,NULL,-0.00134277,212
15.1445,NULL,-0.00109863,213
15.1328,NULL,-0.000915527,214
15.125,NULL,-0.000610352,215
15.1172,NULL,-0.000610352,216
15.1133,NULL,-0.000183105,217
15.1055,NULL,0.000732422,218
15.1016,NULL,0.00128174,219
15.0938,NULL,0.00164795,220
15.0859,NULL,0.0020752,221
15.082,NULL,0.00219727,222
15.0781,NULL,0.00231934,223
15.0742,NULL,0.00244141,224
15.0703,NULL,0.0022583,225
15.0703,NULL,0.0020752,226
15.0625,NULL,0.00213623,227
15.0586,NULL,0.00231934,228
15.0547,NULL,0.00244141,229
15.0508,NULL,0.00286865,230
15.043,NULL,0.003479,231
15.0391,NULL,0.00390625,232
15.0313,NULL,0.00421143,233
15.0273,NULL,0.00439453,234
15.0234,NULL,0.00427246,235
15.0195,NULL,0.00427246,236
15.0117,NULL,0.0043335,237
15.0078,NULL,0.0045166,238
15,NULL,0.00463867,239
14.9922,NULL,0.0045166,240
14.9883,NULL,0.0043335,241
14.9844,NULL,0.00384521,242
14.9805,NULL,0.00335693,243
14.9766,NULL,0.0032959,244
14.9727,NULL,0.00323486,245
14.9648,NULL,0.00360107,246
14.957,NULL,0.00390625,247
14.9453,NULL,0.00396729,248
14.9414,NULL,0.00408936,249
14.9336,NULL,0.00390625,250
14.9297,NULL,0.00384521,251
14.9258,NULL,0.00402832,252
14.918,NULL,0.00402832,253
14.9102,NULL,0.00415039,254
14.9023,NULL,0.0043335,255
14.8984,NULL,0.00445557,256
14.8906,NULL,0.00445557,257
14.8867,NULL,0.00445557,258
14.8828,NULL,0.00445557,259
14.875,NULL,0.00439453,260
14.8672,NULL,0.0045166,261
14.8594,NULL,0.00439453,262
14.8516,NULL,0.00396729,263
14.8477,NULL,0.00378418,264
14.8438,NULL,0.00366211,265
14.8398,NULL,0.00378418,266
14.8359,NULL,0.00402832,267
14.8281,NULL,0.00378418,268
14.8242,NULL,0.00323486,269
14.8203,NULL,0.00244141,270
14.8164,NULL,0.00170898,271
14.8164,NULL,0.00146484,272
14.8125,NULL,0.00134277,273
14.8125,NULL,0.00128174,274
14.8086,NULL,0.00109863,275
14.8047,NULL,0.000793457,276
14.8008,NULL,0.000305176,277
14.7969,NULL,0.00012207,278
14.793,NULL,6.10352e-05,279
14.7891,NULL,0,280
14.7813,NULL,0.000244141,281
14.7773,NULL,0.000305176,282
14.7734,NULL,0.000244141,283
14.7695,NULL,0.000183105,284
14.7656,NULL,0.000183105,285
14.7617,NULL,0.00012207,286
14.7578,NULL,0.000183105,287
14.7539,NULL,0.000183105,288
14.75,NULL,0.000183105,289
14.7461,NULL,-0.00012207,290
14.7422,NULL,-0.000915527,291
14.7383,NULL,-0.00140381,292
14.7383,NULL,-0.00170898,293
14.7344,NULL,-0.00140381,294
14.7266,NULL,-0.000732422,295
14.7188,NULL,-0.000549316,296
14.7148,NULL,-0.0010376,297
14.707,NULL,-0.00177002,298
14.7031,NULL,-0.00219727,299
14.6953,NULL,-0.00213623,300
14.6914,NULL,-0.00146484,301
14.6875,NULL,-0.000610352,302
14.6836,NULL,-0.000305176,303
14.6797,NULL,-0.000305176,304
14.6758,NULL,-0.000488281,305
14.6719,NULL,-0.000610352,306
14.668,NULL,-0.000488281,307
14.6641,NULL,-0.000305176,308
14.6563,NULL,0,309
14.6484,NULL,0.000305176,310
14.6445,NULL,0.000549316,311
14.6367,NULL,0.000915527,312
14.6289,NULL,0.00109863,313
14.625,NULL,0.000976563,314
14.6211,NULL,0.000793457,315
14.6133,NULL,0.000671387,316
14.6133,NULL,0.000366211,317
14.6094,NULL,0.00012207,318
14.6094,NULL,-0.000183105,319
14.6094,NULL,-0.000610352,320
14.6094,NULL,-0.000610352,321
14.6055,NULL,-0.000427246,322
14.6016,NULL,0,323
14.5977,NULL,0.000305176,324
14.5938,NULL,0.000305176,325
14.5898,NULL,0.000305176,326
14.5859,NULL,0.000244141,327
14.582,NULL,0.000183105,328
14.5781,NULL,0.000427246,329
14.5742,NULL,0.000610352,330
14.5742,NULL,0.000610352,331
14.5703,NULL,0.000610352,332
14.5703,NULL,0.000305176,333
14.5703,NULL,-6.10352e-05,334
14.5664,NULL,-0.000305176,335
14.5625,NULL,-0.000366211,336
14.5625,NULL,-0.000305176,337
14.5586,NULL,-6.10352e-05,338
14.5586,NULL,0,339
14.5547,NULL,-0.00012207,340
14.5547,NULL,-0.000427246,341
14.5508,NULL,-0.000732422,342
14.5508,NULL,-0.000732422,343
14.5469,NULL,-0.000427246,344
14.5391,NULL,-0.000488281,345
14.5352,NULL,-0.000427246,346
14.5313,NULL,-0.000305176,347
14.5313,NULL,-6.10352e-05,348
14.5273,NULL,0.000488281,349
14.5273,NULL,0.00128174,350
14.5273,NULL,0.00195313,351
14.5234,NULL,0.00231934,352
14.5234,NULL,0.00256348,353
14.5195,NULL,0.00268555,354
14.5195,NULL,0.00280762,355
14.5156,NULL,0.00292969,356
14.5156,NULL,0.00317383,357
14.5117,NULL,0.00335693,358
14.5078,NULL,0.00335693,359
