Ego_vx,Ego_vy,Ego_Yawrate,CycleNum
0,NULL,1.99896,0
0.046875,NULL,-0.00354004,1
0.140625,NULL,-0.00708008,2
0.28125,NULL,-0.0108643,3
0.46875,NULL,-0.0146484,4
0.703125,NULL,-0.0149536,5
0.9375,NULL,-0.0152588,6
1.17188,NULL,-0.0151367,7
1.40625,NULL,-0.0148315,8
1.64063,NULL,-0.0146484,9
1.875,NULL,-0.0145264,10
2.10938,NULL,-0.0144653,11
2.34375,NULL,-0.0142212,12
2.57813,NULL,-0.0134888,13
2.8125,NULL,-0.0126343,14
3.04688,NULL,-0.012085,15
3.28125,NULL,-0.0118408,16
3.51563,NULL,-0.0115967,17
3.75,NULL,-0.0112915,18
3.98438,NULL,-0.0106201,19
4.21875,NULL,-0.00982666,20
4.45313,NULL,-0.00952148,21
4.6875,NULL,-0.00952148,22
4.92188,NULL,-0.00964355,23
5.15625,NULL,-0.00946045,24
5.39063,NULL,-0.00909424,25
5.625,NULL,-0.00848389,26
5.85938,NULL,-0.00805664,27
6.09375,NULL,-0.00793457,28
6.32813,NULL,-0.00787354,29
6.5625,NULL,-0.00738525,30
6.79688,NULL,-0.00689697,31
7.03125,NULL,-0.00628662,32
7.26563,NULL,-0.00543213,33
7.5,NULL,-0.00518799,34
7.73438,NULL,-0.00518799,35
7.96875,NULL,-0.00531006,36
8.20313,NULL,-0.00567627,37
8.4375,NULL,-0.00561523,38
8.67188,NULL,-0.00518799,39
8.90625,NULL,-0.00494385,40
9.14063,NULL,-0.00512695,41
9.375,NULL,-0.00549316,42
9.60938,NULL,-0.00598145,43
9.84375,NULL,-0.00579834,44
10.0781,NULL,-0.00524902,45
10.3125,NULL,-0.00482178,46
10.5469,NULL,-0.0045166,47
10.7813,NULL,-0.00457764,48
11.0156,NULL,-0.00463867,49
11.25,NULL,-0.0045166,50
11.4844,NULL,-0.0045166,51
11.7188,NULL,-0.00494385,52
11.9531,NULL,-0.00518799,53
12.1875,NULL,-0.00531006,54
12.4219,NULL,-0.00531006,55
12.6563,NULL,-0.00457764,56
12.8906,NULL,-0.00408936,57
13.125,NULL,-0.00402832,58
13.3594,NULL,-0.00415039,59
13.5938,NULL,-0.00439453,60
13.8281,NULL,-0.00488281,61
14.0625,NULL,-0.00482178,62
14.2969,NULL,-0.00469971,63
14.5313,NULL,-0.0045166,64
14.7656,NULL,-0.00421143,65
15,NULL,-0.00445557,66
15.2344,NULL,-0.00463867,67
15.4688,NULL,-0.0045166,68
15.7031,NULL,-0.00457764,69
15.9375,NULL,-0.00457764,70
16.1719,NULL,-0.00476074,71
16.4063,NULL,-0.00531006,72
16.6406,NULL,-0.0055542,73
16.8594,NULL,-0.00537109,74
17.0313,NULL,-0.00512695,75
17.1602,NULL,-0.00494385,76
17.25,NULL,-0.00488281,77
17.293,NULL,-0.00537109,78
17.3047,NULL,-0.00549316,79
17.3164,NULL,-0.00537109,80
17.3281,NULL,-0.00506592,81
17.3359,NULL,-0.00457764,82
17.3516,NULL,-0.00445557,83
17.3633,NULL,-0.00457764,84
17.375,NULL,-0.0045166,85
17.4102,NULL,-0.0043335,86
17.4258,NULL,-0.00421143,87
17.4414,NULL,-0.00408936,88
17.4609,NULL,-0.00439453,89
17.4766,NULL,-0.0045166,90
17.4766,NULL,-0.00445557,91
17.4961,NULL,-0.0045166,92
17.5117,NULL,-0.0043335,93
17.5156,NULL,-0.00439453,94
17.5234,NULL,-0.00469971,95
17.5234,NULL,-0.00494385,96
17.5234,NULL,-0.00512695,97
17.5195,NULL,-0.00500488,98
17.5195,NULL,-0.00476074,99
17.5234,NULL,-0.00445557,100
17.5273,NULL,-0.00457764,101
